published_date,published_time,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,shares,followers,engagement_rate_by_follower,engagement_rate_by_view,engagement_rate_lift,views,post_tag_ugc,post_tag_contests
9/9/2024,01:29:26 p. m.,25/07/2025 11:04,21/04/2025 07:57,Medela,medela_official,⚠️ Do NOT heat up breastmilk in the microwave ⚠️ Learn why microwaving is a big no-no when it comes to warming breastmilk. Our new Easy-Pour Breast Milk Storage Bags make warming and transferring milk simpler than ever! Keep it safe and healthy for your baby and defrost milk in the fridge or put the bag in a bowl of lukewarm water 🥛 #breastmilk #lacationconsultant #breastmilkinmicrowave #heatupbreastmilk #howtoheatbreastmilk,https://www.tiktok.com/@medela_official/video/7412727671366454559,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/9554546631767272147,video,,,4976,4112,93,771,24068,0.20674754861226524,0.027637689,45.15438854209714,180044,0,0
2/12/2024,11:30:46 a. m.,25/07/2025 11:04,24/07/2025 17:33,Zomee,zomee.pump,Setting up your Zomee hands-free breast pump is a breeze with our tutorial! 🌬️🤲 #fyp #zomee #zomeefit #zomeebreastpump,https://www.tiktok.com/@zomee.pump/video/7334769031955909934,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4399095591309674337,video,,,465,377,24,64,2274,0.20448548812664907,0.010550438,44.58870565040086,44074,0,0
3/30/2024,05:25:22 p. m.,25/07/2025 11:04,18/07/2025 21:47,Philips Avent,philipsavent,Keep your little one’s pacifier close with Philips Avent Soothie snuggle — now available in eight different cute animals. 🦊 Fox 🐒 Monkey 🐄 Cow 🦭 Seal 🦥 Sloth 🦒 Giraffe 🐘 Elephant 🐨 Koala Which one does your little one have? #Soothiesnuggle #BabyRegistryMustHaves #BabyShowerGiftIdeas,https://www.tiktok.com/@philipsavent/video/7352301598791453985,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/5893541978951032537,video,,,268,62,7,199,1311,0.2044241037376049,0.027717447512669354,44.572199085077585,9669,0,0
3/14/2024,08:55:23 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,Calling all social-savvy mamas!✨ Ready to rep Lansinoh products while sharing mom-life?💜 We're on the lookout for moms to join our Ambassador program for awesome perks like: 💜Free products 💜Lansinoh gift cards 💜Exposure on socials 💜Unlock rewards Don't miss out! Click the link in our bio to apply now! #ambassador #ambassadorswanted #influencers #influencer #mominfluencer,https://www.tiktok.com/@lansinohusa/video/7346232775370132778,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/8772310735772326437,video,,,2418,2167,125,126,12500,0.19344,0.001550438,42.20946014860489,1559559,0,0
2/27/2024,04:30:45 p. m.,25/07/2025 11:04,21/07/2025 01:52,Babylist,babylist,also pov: your twins get to attend TWO Beyoncé concerts before they’re born 😂 #pregnantlife #pregnanttok #pregnancytok #pregnanttiktok #pregnancytiktoks #gaboureysidibe #gaboureysidibepregnancy #pregnancyannouncement #funnypregnancyannouncement #twin #twins,https://www.tiktok.com/@babylist/video/7340412787019238699,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/9968329107872140437,video,,,242872,226975,7089,8808,1300000,0.1868246153846154,0.085169385,44.57922817202716,2851635,0,0
8/1/2024,07:03:19 a. m.,25/07/2025 11:04,24/07/2025 17:30,myameda,myameda,,https://www.tiktok.com/@myameda/video/7398155843755183406,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/6043815573485518937,video,,,33,11,22,0,178,0.1853932584269663,0.078384798,40.41937633176188,421,0,0
5/29/2024,08:44:36 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,"Our OG Wearable Breast Pump just got a major glow-up! 🌟 Now with only 3 pieces to clean and 4 pieces to assemble, it's easier than ever to use. Plus, we've added tabs on the collection cups for a secure seal, ensuring you don't waste a drop of that liquid gold. Available exclusively at Target! 🛍️ @target #target #targetfinds #targethaul #targetmom",https://www.tiktok.com/@lansinohusa/video/7374432498450844970,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/0794480548942344737,video,,,2551,2251,110,190,13877,0.1838293579303884,0.003302616,40.11422510656411,772418,0,0
8/21/2024,07:00:12 a. m.,25/07/2025 11:04,24/07/2025 17:30,myameda,myameda,,https://www.tiktok.com/@myameda/video/7405576744301907246,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/6427091034476755047,video,,,32,9,23,0,178,0.1797752808988764,0.14222222222222222,39.1945325,225,0,0
2/7/2024,08:59:06 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,"Hospital strength suction, hands-free, quiet, AND free?? Say less. Click the link to apply to get your DiscreetDuo Wearable Pump reimbursed by insurance! #lansinoh #lansinohusa #discreetduo #wearablepump @Lehandra Staude",https://www.tiktok.com/@lansinohusa/video/7332874676584058154,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4518504856764782337,video,,,2052,1941,63,48,11500,0.17843478260869566,0.007599916,38.93013544862093,270003,0,0
11/15/2024,09:35:27 a. m.,25/07/2025 11:04,19/07/2025 00:58,Willow Pump,willowpump,That feeling when you can tackle your to-do list during a pump sesh and have more time to do whatever you want. 🙌 #willow #withwillow #pumpingmom #pumpingera #wearablebreastpump,https://www.tiktok.com/@willowpump/video/7437530086326226219,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/9126226236800357347,video,,,3450,3412,7,31,21171,0.16295876434745643,0.004478652,35.57116485417164,770321,0,0
10/29/2024,08:15:00 a. m.,25/07/2025 11:04,24/07/2025 17:33,Zomee,zomee.pump,Multi-tasking like a boss! 💪✨ Discreetly pumping while breaking a sweat at the gym—thanks to the Zomee Fit! 🩵 #fyp #foryoupageofficiall #Zomee #ZomeeFit #wearablepumps #pumpingmom #MultitaskingMom,https://www.tiktok.com/@zomee.pump/video/7430923186885102891,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1982015886813290347,video,,,364,346,6,12,2274,0.1600703605980651,0.026226673391454715,34.90256508624034,13879,0,0
3/19/2024,03:43:32 p. m.,25/07/2025 11:04,21/04/2025 07:57,Medela,medela_official,“I never know when I'm going to need to pump in the car! That's why I always keep my Medela Harmony breast pump and milk storage bags in my purse.” -@Aniajah | Mama + Lifestyle #HarmonySavestheDay,https://www.tiktok.com/@medela_official/video/7348193266216504607,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/7064056126623918437,video,,,3328,2948,39,341,21200,0.1569811320754717,0.001528668,34.264824524911624,2177059,0,0
10/17/2024,10:36:14 a. m.,25/07/2025 11:04,30/11/2024 01:47,Willow Pump,willowpump,"Postpartum is HARD. Remember, 17 Diapers = 17 clean bottoms. Here’s to all the amazing moms, like @Hannah 🤍 , tackling each day with love! We see you, we support you and we're INCREDIBLY proud of you. 💪💖 #momlife #17diapers #realmommoments #proudmoms #momstruggles #tiktokmoms #parentingwins",https://www.tiktok.com/@willowpump/video/7426784305239575851,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1585759325034876247,video,,,3205,3054,43,108,20891,0.1534153463213824,0.003498893,33.48502586456154,916004,0,0
2/2/2024,12:21:07 p. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,Feeding bottles for busy babies and mamas🍼✨. Clinically proven to reduce nipple confusion in breastfed babies💜. #lansinoh #lansinohbottles #lansinohusa #babybottle #babiesoftiktok @Quin | motherhood + lifestyle,https://www.tiktok.com/@lansinohusa/video/7331071092380978475,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/5748790832901701337,video,,,1741,1699,5,37,11400,0.15271929824561403,0.002371653,33.31587691680071,734087,0,0
1/4/2024,08:27:34 a. m.,25/07/2025 11:04,24/07/2025 17:27,Motif Medical,motifmedical,"unboxing your motive, Luna breast pump before your due date? Follow our IBCLC’s tips: 🍼 Measure your flange size at weeks 38–39. Reasses your size two weeks postpartum. 🍼 Get to know your breast pump parts 🍼 Sanitize your breast pumo parts before your big day! Read more tips on our blog. Link in bio to learn more. #pum#pumpingtipse#breastpumpthroughinsurancem#pumpingjourneyt#motifmedicalt#motifluna",https://www.tiktok.com/@motifmedical/video/7320249655680453931,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1393540865569420237,video,,,2347,2260,44,43,15795,0.14859132636910416,0.00429289,32.42226611568653,546718,0,0
7/23/2024,03:00:46 p. m.,25/07/2025 11:04,21/07/2025 01:52,Babylist,babylist,Meet the baby registry that lets you register for ANYTHING you could possibly want. Create your registry now! #babyregistry #babylist #babyregistrymusthaves #babyregistrytips #babyregistryideas,https://www.tiktok.com/@babylist/video/7394939106297416991,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1996147926019394937,video,,,195664,177158,17,18489,1341543,0.1458499653011495,0.006113538,34.15657452715279,32005034,0,0
1/18/2024,11:30:55 a. m.,25/07/2025 11:04,19/07/2025 21:30,Elvie | Women’s Health,elvieofficial,Thanks Mother for educating the world on the correct anatomical terms for our genitals! #elvie #goldenglobes #gilliananderson #mommy,https://www.tiktok.com/@elvieofficial/video/7325492020536003886,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/6883006350202945237,video,,,15597,15550,23,24,109300,0.14269899359560842,0.07563502,31.28255105,206214,0,0
3/1/2024,02:40:56 p. m.,25/07/2025 11:04,21/04/2025 07:57,Medela,medela_official,Are breastfed babies clingy? #medela #lactationconsultant #breastfeeding #breastfeedingtips #DidYouKnow,https://www.tiktok.com/@medela_official/video/7341497657661132074,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4702311667567941437,video,,,2905,2438,36,431,20800,0.13966346153846154,0.061389235,30.48016248580898,47321,0,0
3/24/2024,02:00:47 p. m.,25/07/2025 11:04,18/07/2025 21:47,Philips Avent,philipsavent,"You’re not suffering alone, mama. 85% of new moms surveyed in the US shared that their baby has experienced at least some issue with colic, reflux or gas during feeding. To help provide your little one with relief from these common feeding issues, here are a few tips — 1. Keep them close and help soothe them by walking or rocking them 2. Use Philips Avent Anti-colic bottle with AirFree vent so you can feed in an upright position without the nipple filling with air 3. Motion and vibration — go on a drive or use a vibrating chair to soothe symptoms 4. Use a little white noise or soothing music as distraction 5. Lean on others and don’t forget to #ShareTheCare Do you have any tips to add for other moms? Drop them in the comments below! 👇 #ColicAwarenessMonth #ShareTheCare #AntiColic #Colic #BabyBottles",https://www.tiktok.com/@philipsavent/video/7350022390446902561,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1652096440932200537,video,,,178,128,5,45,1292,0.13777089783281735,0.012299613045881702,30.038293004795015,14472,0,0
9/12/2024,08:15:00 a. m.,25/07/2025 11:04,24/07/2025 17:33,Zomee,zomee.pump,"Meet the ultimate pumping duo! 💫 Zomee Collection Cup fits perfectly with the Zomee Z2, letting you pump hands-free and comfortably right in your bra. More milk, less hassle! #Zomee #CollectionCups #ZomeeZ2 #MomLifeMadeEasy #MomsofTikTok #breastpump #breastfeeding",https://www.tiktok.com/@zomee.pump/video/7413424939790912811,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/1182190979394243147,video,,,305,246,14,45,2274,0.13412489006156553,0.014874420872957815,29.24465375688372,20505,0,0
1/12/2024,03:59:52 p. m.,25/07/2025 11:04,18/07/2025 21:47,Philips Avent,philipsavent,"Even when the Philips Avent Anti-colic baby bottle is held horizontally, the nipple stays full of milk! 🍼 ​ ​ This bottle allows your baby to drink upright, which can help reduce reflux and aid digestion. ​ ​ Have you tried this bottle to help with your baby’s colic? ​ ​ #PhilipsAvent #BabyBottles #BabyShowerGiftIdeas",https://www.tiktok.com/@philipsavent/video/7323334927850704160,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/0614070587294333237,video,,,133,70,8,55,1017,0.13077679449360866,0.009842374,28.512909901872902,13513,0,0
1/22/2024,12:54:35 p. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,Assembling the DiscreetDuo is easy peasy!✨ Just 4 simple parts to clean and put together💜. #lansinoh #lansinohpump #discreetduo #wearablepump #pumpingmom,https://www.tiktok.com/@lansinohusa/video/7326997858308279598,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/8959728038587996237,video,,,1388,1182,86,120,11000,0.12618181818181817,0.003283847,27.52318112265313,422675,0,0
5/6/2024,11:12:19 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,Use code MOM20 to save 20% off all of Lansinoh.com for the entire month of May for Mother’s Day💜🤱🌸 #mothersday #mothersdaygiftideas #mothersdaygift #mothersdaysale,https://www.tiktok.com/@lansinohusa/video/7365935587343224110,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/0114223437855395637,video,,,1402,1226,37,139,13445,0.10427668278170324,0.001320285,22.74518612946282,1061892,0,0
1/2/2024,09:35:01 a. m.,25/07/2025 11:04,21/07/2025 08:40,LansinohUSA,lansinohusa,"Discover the versatility of Lansinoh Lanolin and Organic Nipple Balm!💜 Beyond breastfeeding, these creams serve as a go-to pumping lubricant and aid in relieving dry skin and lips. Click the link to get your hands on the #1 doctor-recommended nipple cream in the US!💫 @Nicole Roggow #lansinoh #lansinohlanolin #organicnipplebalm #lanolin #momhacks",https://www.tiktok.com/@lansinohusa/video/7319524804732701994,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4991072374084259137,video,,,1090,1048,2,40,10600,0.10283018867924529,0.001923834,22.427232897408604,566577,0,0
9/3/2024,03:04:23 p. m.,25/07/2025 11:04,24/07/2025 17:30,myameda,myameda,September 1-7 is Workplace Lactation Week. Take a look at our lactation room. What are some pumping/nursing room must-haves? #workplacelactationweek #MomsofTikTok #nursing #pumping #myameda #myajoyplus@Healthy Horizons Breastfeeding,https://www.tiktok.com/@myameda/video/7410525655818833194,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4913388185565250147,video,,,18,13,3,2,178,0.10112359550561797,0.007237636,22.046812304254797,2487,0,0
1/5/2024,10:10:35 a. m.,25/07/2025 11:04,12/01/2024 03:22,LansinohUSA,lansinohusa,Make it easier for your little one with a bottle designed to smooth the transition from breast to bottle and back.🩷🍼 Lansinoh® NaturalWave® nipples promote the same feeding actions learned during breastfeeding and are clinically proven to reduce nipple confusion🎉,https://www.tiktok.com/@lansinohusa/video/7320647159844539694,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4969354489517460237,video,,,1045,1023,6,16,10600,0.098584906,0.004583333,21.500986035587403,228000,0,0
1/25/2024,01:25:41 p. m.,25/07/2025 11:04,24/07/2025 17:37,BabyBuddha,mybabybuddha,Check out @baremotherhood_ rocking our Express Cups – we are SO happy you love them as much as we do! 💖✨ #expresscups #pumpingjourney #babybuddhainnovation #handsfreepumping,https://www.tiktok.com/@mybabybuddha/video/7328119257836014894,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4984106387529118237,video,,,518,450,47,21,5802,0.089279559,0.002216157,19.467950057006348,233738,0,0
1/9/2024,03:00:39 p. m.,25/07/2025 11:04,02/06/2025 03:30,Babylist,babylist,"""I'm just a baby!"" vibes 👶 #newborn #newbaby #newparent #parenttok #parentsoftiktok #postpartum #postpartumtiktok #postpartumtok #postpartummood #newbabytok",https://www.tiktok.com/@babylist/video/7322206383120616746,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/6476160213836022237,video,,,111602,101040,534,10028,1300000,0.085847692,0.11244998533944475,19.465542486974865,992459,0,0
9/19/2024,05:00:07 a. m.,25/07/2025 11:04,21/04/2025 07:57,Medela,medela_official,"💥 Quick Crash Course 💥 on how to use our new Easy Pour Breast Milk Storage Bags! Get ready to milk the most out of every drop with these awesome tips: 🥛 Label & Date: Jot down the date, AM/PM, and ounces pumped 🥛 Seal & Store: Pop your milk in the fridge or freezer for easy storage 🥛 Pour with Precision: Our easy-pour spout ensures every drop goes exactly where you want it—no spills, no mess! Ready to upgrade your milk storage game? Head to @Walmart or shop on @Amazon today! 🛒 *through better oxygen barrier vs Medela’s former bag",https://www.tiktok.com/@medela_official/video/7416307275494853934,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/4393584945727036147,video,,,2077,1861,34,182,24746,0.083932757,0.021169252094502315,18.311850884483675,98114,0,0
