published_date,published_time,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,followers,engagement_rate_by_follower,engagement_rate_lift,estimated_impressions,engagement_rate_by_estimated_impression,post_tag_ugc,post_tag_contests
1/2/2024,02:00:19 p. m.,25/07/2025 11:01,27/02/2024 04:26,Babylist Baby Registry,babylist,"""To the parents of multiples struggling to survive and keep it together… it’s so worth it 🥹🤍📸 thattwinmama_ I made this video over a year ago. A couple days ago, I was having a really tough day (like a cry in the car kind of day) with the girls and this popped back up on my phone. Needless to say, I needed this reminder🙏🏾"" #twinmom #twins #twinsisters #twinmomlife #expectingtwins #twinpregnancy",https://www.instagram.com/reel/C1nBNYnNeqn/,,,,https://d1cdkkfhgor70g.cloudfront.net/C1nBNYnNeqn?postNativeId=17999643080368620,reel,,,14783,14630,153,611421,0.024178103,10.751504628028181,264558,0.055878106,0,0
4/19/2024,06:20:05 a. m.,25/07/2025 11:01,13/06/2024 23:42,Momcozy,momcozy,"Maternity leave isn't about lounging on the beach or taking a break from responsibilities. It's a time filled with sleepless nights, endless diaper changes, and the profound joy and challenges of caring for a newborn. It's about navigating the physical and emotional recovery from childbirth while learning how to care for a tiny human being who relies on you for everything. It's important to recognize that maternity leave is a fundamental right that allows parents to prioritize their family's well-being without sacrificing their careers. It's a time for bonding with their baby, building a strong foundation for their family, and adjusting to the profound changes parenthood brings. #momcozy #BeACozyMom #CozyPowerByMomcozy #maternityleave #maternityleavelife #parenthood #workingmom #newmoms #motherhoodjourney",https://www.instagram.com/p/C58V0jFOVxN/,,,,https://d1cdkkfhgor70g.cloudfront.net/C58V0jFOVxN?postNativeId=18027568625062467,photo,,,14687,14609,78,173830,0.084490594,37.59359849923203,242011,0.060687324,0,0
12/19/2024,10:00:39 a. m.,25/07/2025 11:01,10/02/2025 22:07,Babylist Baby Registry,babylist,"Happy holidays, from your baby to you ✨ #holidays #adventcalendar #pregnancysymptoms",https://www.instagram.com/reel/DDw9nq9KDxK/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDw9nq9KDxK?postNativeId=18064988620829335,reel,,,12613,12379,234,661876,0.019056439574784402,8.461050443882161,231381,0.054511822,0,0
4/19/2024,05:06:39 p. m.,25/07/2025 11:01,17/06/2024 18:35,Babylist Baby Registry,babylist,tag a tortured poet in the comments 🥲 #taylorswift #torturedpoetsdepartment #taylor #mommemes,https://www.instagram.com/p/C59f0bpPCBS/,,,,https://d1cdkkfhgor70g.cloudfront.net/C59f0bpPCBS?postNativeId=18021087605141599,photo,,,11118,11068,50,628371,0.017693369044720395,7.848388612320361,193532,0.057447864,0,0
2/16/2024,12:00:31 p. m.,25/07/2025 11:01,16/04/2024 04:00,Babylist Baby Registry,babylist,One of the cutest concerts we have ever seen 🥹 📹: da_new_dad on TikTok #dadig #parentsofig #babyig #babycute #newparent,https://www.instagram.com/reel/C3arYO-BuQF/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3arYO-BuQF?postNativeId=18278637496167740,reel,,,11088,11030,58,619946,0.017885428730889465,7.933523649515393,193588,0.057276277455214165,1,0
4/2/2024,08:11:04 a. m.,25/07/2025 11:01,30/05/2024 20:45,Momcozy,momcozy,"Feeling exhausted during pregnancy is completely normal, as your body is making a significant effort to literally create a human life. #Momcozy #BeACozyMom #CozyCare #CozyPowerByMomcozy #pregnancylife #pregnancyjourney #pregnancyfatigue #pregnancyproblems #pregnancy",https://www.instagram.com/p/C5QxAk7u4Em/,,,,https://d1cdkkfhgor70g.cloudfront.net/C5QxAk7u4Em?postNativeId=18026520221047125,photo,,,10850,10799,51,168719,0.06430811,28.54031599669713,185827,0.05838764,0,0
2/12/2024,12:01:27 p. m.,25/07/2025 11:01,01/04/2024 23:43,Babylist Baby Registry,babylist,Gotta do what you gotta do 🤷‍♀️ 📹: kayleebrookeburks #pumping #newparent #fourthtrimester #nursing #babyig,https://www.instagram.com/reel/C3QYLgWtgP_/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3QYLgWtgP_?postNativeId=18115651663318889,reel,,,10968,10730,238,619613,0.017701372,7.851254360088788,206571,0.053095546,1,0
1/29/2024,10:30:50 a. m.,25/07/2025 11:01,27/03/2024 19:43,Elvie,elvie,43% of breastfeeding moms found public transport to be one of the most daunting places to breastfeed. And we can see why. Consider this your friendly reminder to support moms on-the-go. Even something as simple as offering up your seat (if you’re able) can make a whole world of difference. Be kind and move your behind. 💪 📸: samanthalouiseholmes,https://www.instagram.com/p/C2sOHtLOu3k/,,,,https://d1cdkkfhgor70g.cloudfront.net/C2sOHtLOu3k?postNativeId=18250830064236833,photo,,,11166,10538,628,374666,0.029802544132640805,13.225233896292021,226999,0.049189644,1,0
2/17/2024,05:35:04 p. m.,25/07/2025 11:01,12/04/2024 02:59,Momcozy,momcozy,"3am is the best time, no joke. 😂🌙🍼 Credit：babycentre #momcozy #BeACozyMom #motherhoodmemes #momlife #motherhood #parenthood #momlifebelike #momliferocks #momlifebalance #parenthoodmemes #newparents",https://www.instagram.com/p/C3d5yEIsYIF/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3d5yEIsYIF?postNativeId=17893865666973034,photo,,,10201,10138,63,153948,0.066262634,29.395641384593475,171407,0.059513322,0,0
1/6/2024,12:00:26 p. m.,25/07/2025 11:01,05/03/2024 04:05,Babylist Baby Registry,babylist,She's real outside of TV???? 📷 cugarcia1 #pregnancy #babylist #babiesofig #pregnant,https://www.instagram.com/reel/C1xGq3bLR1U/,,,,https://d1cdkkfhgor70g.cloudfront.net/C1xGq3bLR1U?postNativeId=18279825928081126,reel,,,10022,9961,61,612122,0.016372553183842436,7.257361427361487,175621,0.057066068,1,0
8/17/2024,11:03:33 a. m.,25/07/2025 11:01,15/10/2024 07:53,Babylist Baby Registry,babylist,"✨Very mindful, very demure ✨ #dadlife #parenting #parents",https://www.instagram.com/reel/C-x1eUsvvgB/,,,,https://d1cdkkfhgor70g.cloudfront.net/C-x1eUsvvgB?postNativeId=18431145517071536,reel,,,9695,9629,66,645479,0.015019853473157143,6.655968878214044,170822,0.056754985,0,0
2/7/2024,03:00:18 p. m.,25/07/2025 11:01,01/04/2024 23:43,Babylist Baby Registry,babylist,Hey Bear is the real MVP 🏆 📹: aiparenthelp #baby #babiesofig #babyhack #parenthack #parenting #parentingig,https://www.instagram.com/reel/C3D0r5zvz_w/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3D0r5zvz_w?postNativeId=17902746458931140,reel,,,9656,9471,185,618942,0.015600815585305247,6.913515650868247,179624,0.053756736293591054,1,0
12/10/2024,08:00:13 a. m.,25/07/2025 11:01,03/01/2025 23:25,Medela,medela_us,"Breast milk! 🎁 A present of protection, wrapped in love and packed with antibodies, nutrients, and everything your little one needs to grow and thrive this holiday season. 🎄 🎥 courtneywitucki",https://www.instagram.com/reel/DDZoEtkxhZL/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDZoEtkxhZL?postNativeId=18382798093104842,reel,,,9454,9384,70,156693,0.06033454,26.752331692126486,162284,0.058255897,1,0
8/5/2024,07:26:03 a. m.,25/07/2025 11:01,04/10/2024 03:57,Momcozy,momcozy,"""I felt my baby kick me before I shot this last arrow, and then I shot a 10,"" Azerbaijan archer Yaylagul Ramazanova shared with Xinhua News. Competing at #ParisOlympics2024 while six-and-a-half months pregnant, Yaylagul Ramazanova is not fighting alone. 🤰 Here's to Women, to Moms, and to More than A Mom. Credit: yayo_gul #Momcozy #MoreThanAMom #Inspiration #WomenWhoInspire #OlympianMom #BreakingBarriers #MomPower #OlympicGames2024 #Olympic2024",https://www.instagram.com/momcozy/p/C-SjOQiMQK3/,,,,https://d1cdkkfhgor70g.cloudfront.net/p?postNativeId=18112012195367009,photo,,,9048,9016,32,212444,0.042590047,18.877717458836695,150529,0.060108019,0,0
2/12/2024,04:33:25 p. m.,25/07/2025 11:01,25/07/2025 10:15,Haakaa USA,haakaausa,"✨Pro Tip✨ “Side lying is by far my favorite position to breastfeed ✨ It’s relaxing for both you and your babe! I especially cherished these moments as my kiddos got older bc it was the only time they would stay still and actually cuddle with me. This position usually bought me an extra hour in bed in the morning 🙌🏽😴 It can feel best to try this position once breastfeeding is established and comfortable. If you are struggling with nipple pain…I recommend a seated position with pillows until you both get the hang of things. H O W T O ✨ Side-lying while you breastfeed…. -make sure you are in the middle of the bed, so baby is not close to the edge -lay baby close to you, tummy to tummy so you are both on your side -make sure baby’s chin is touching the breast so their head is tilted up…this way they can eat more comfortably AND they are looking up at you 🥹 how cute is that?! -keep your arm above, I found it comfortable to rest my head on that arm. -and of course RELAXXXX 🤸🏼‍♀️✨” 📹 shellyjacobs_ibclc 💕 .",https://www.instagram.com/reel/C3Q6jbkLNUi/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3Q6jbkLNUi?postNativeId=18015355109282758,reel,,,8663,8586,77,276727,0.031305221,13.87089217321241,151704,0.057104624795654695,1,0
1/30/2024,02:59:24 p. m.,25/07/2025 11:01,26/03/2024 04:41,Babylist Baby Registry,babylist,Which one are you? 😌 #parenting #parents #momlife #newmom #taylorswift #superbowl #traviskelce,https://www.instagram.com/p/C2vRqe7yiwR/,,,,https://d1cdkkfhgor70g.cloudfront.net/C2vRqe7yiwR?postNativeId=17899374038945058,carousel,,,8393,8248,145,618274,0.013574888,6.010657016442389,152979,0.054863739,0,0
3/28/2024,11:01:28 a. m.,25/07/2025 11:01,14/05/2024 06:59,Babylist Baby Registry,babylist,Would you do a half baked photoshoot? 👀 📹: abigaiilkate on TikTok #baby #secondtrimester #pregnancy #pregnant #pregnancyig #pregnantig,https://www.instagram.com/reel/C5EJCfVqxjZ/,,,,https://d1cdkkfhgor70g.cloudfront.net/C5EJCfVqxjZ?postNativeId=18015255881237970,reel,,,8187,8145,42,624384,0.013112123308733088,5.804903474506059,147779,0.055400294,1,0
10/2/2024,07:01:46 a. m.,25/07/2025 11:01,24/07/2025 17:38,BabyBuddha® Breast Pump & Accessories,mybabybuddha,"Every milestone in motherhood is worth celebrating—first pump, first night away, and everything in between.🌟🍼 • • #BreastPump #BabyBuddha #CompactButMighty #EfficientPumping #MomLife #BreastfeedingJourney #PumpingLove",https://www.instagram.com/p/DAn2jLsMQJL/,,,,https://d1cdkkfhgor70g.cloudfront.net/DAn2jLsMQJL?postNativeId=18043353392003507,photo,,,7912,7874,38,49618,0.15945826111491798,70.64241191254159,131834,0.060014867,0,0
3/10/2024,11:00:34 a. m.,25/07/2025 11:01,06/05/2024 19:54,Babylist Baby Registry,babylist,Just tapping to say hi 🥹 📹: wondersofmybelly on TikTok #baby #babiesofig #babyig #ultrasound #pregnancy,https://www.instagram.com/reel/C4VyykEt9re/,,,,https://d1cdkkfhgor70g.cloudfront.net/C4VyykEt9re?postNativeId=17954015048757030,reel,,,7700,7641,59,622416,0.012371147271278374,5.475100231257581,137159,0.056139225278691154,1,0
12/17/2024,10:36:57 a. m.,25/07/2025 11:01,03/01/2025 23:25,Medela,medela_us,"🍪 Fun fact: Breastfeeding burns 500-600 calories a day! So go ahead, enjoy those holiday cookies, mama. Your body’s working hard to turn that fuel into liquid gold for your baby. 🎥 neekstc",https://www.instagram.com/reel/DDr7ksqOWs2/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDr7ksqOWs2?postNativeId=18046705034133903,reel,,,7560,7525,35,156916,0.048178643,21.335401868978643,128798,0.058696564,1,0
4/25/2024,04:33:36 p. m.,25/07/2025 11:01,06/06/2024 06:31,Dr. Brown's,drbrowns,"This bottle organization. 😍 🍼 Shop Dr. Brown’s™ Insta-Prep Warm Water Dispenser, Bottle Sterilizer and Dryer, and Dr. Brown’s Anti-Colic Options+™ Baby Bottles at Amazon with 🔗 in bio. 🎥: itsqueenb_95 #babybottle #babyfeeding #feedingbaby",https://www.instagram.com/reel/C6M4yjTptgJ/,,,,https://d1cdkkfhgor70g.cloudfront.net/C6M4yjTptgJ?postNativeId=18024351457907178,reel,,,7198,7158,40,209741,0.034318516646721434,15.192711904752551,122062,0.058970032,1,0
1/23/2024,12:00:20 p. m.,25/07/2025 11:01,19/03/2024 06:51,Babylist Baby Registry,babylist,When your best friend meets your baby for the first time.. 🥺 📷 brontehendricks,https://www.instagram.com/reel/C2c4Ty6rGHS/,,,,https://d1cdkkfhgor70g.cloudfront.net/C2c4Ty6rGHS?postNativeId=18034750231703518,reel,,,7202,7045,157,617246,0.011667957346017633,5.162214008678822,132865,0.054205396455048356,1,0
1/3/2024,03:00:42 p. m.,25/07/2025 11:01,27/02/2024 04:26,Babylist Baby Registry,babylist,Drop the names 👇 (Feel free to tag your ex / high school bully / your upstairs neighbor) 😉 📷 koreydior_,https://www.instagram.com/reel/C1ps6HrvoTm/,,,,https://d1cdkkfhgor70g.cloudfront.net/C1ps6HrvoTm?postNativeId=18405396826002165,reel,,,6809,6714,95,611504,0.011134841309296423,4.925100699205398,123979,0.054920591,1,0
4/20/2024,05:32:06 p. m.,25/07/2025 11:01,13/06/2024 23:42,Momcozy,momcozy,It's not solely about the baby... It's about the absence of a supportive community. It's grappling with societal pressure to quickly recover. It's the ongoing fatigue that seems never-ending. It's the struggle with limited maternity leave provisions. It's the journey of recovering from the physical and emotional toll of childbirth. It's sorting through a multitude of conflicting opinions. It's the burden of societal expectations and harsh judgments. Let's recognize the real challenges parents face and come together to support each other. 💕 Credit: By mothernourishnurture #momcozy #BeACozyMom #CozyPowerByMomcozy #community #village #motherhoodstruggle #motherhoodinspired #motherhoodunited #supportsystem #motherhoodquotes #parentinglife #momlife,https://www.instagram.com/p/C6AHhUcxtbv/,,,,https://d1cdkkfhgor70g.cloudfront.net/C6AHhUcxtbv?postNativeId=18056590297572700,photo,,,6672,6639,33,174100,0.038322803,16.960357966199787,115647,0.057692807,0,0
6/10/2024,10:05:41 a. m.,25/07/2025 11:01,20/07/2024 22:59,willowpump,willowpump,Summer of the pump vibes are in full swing. 😎😎 We’ll be making milk outdoors until further notice. Who’s with us? Show us where you’re pumping #withwillow this summer to be featured on our page! ✈️🏖️🥥 #willow #pumpingera #pumpingmom #summervibes #exclusivelypumping #pumpingonthego,https://www.instagram.com/p/C8Co-qlgA4P/,,,,https://d1cdkkfhgor70g.cloudfront.net/C8Co-qlgA4P?postNativeId=18013116191428562,carousel,,,6514,6410,104,179474,0.036294950800673076,16.061077722487575,117245,0.055558872,0,0
12/12/2024,10:00:22 a. m.,25/07/2025 11:01,04/02/2025 07:19,Babylist Baby Registry,babylist,"""I'm just really happy to be his mom."" #Yellowjackets actress sammihanratty shares that her baby will be born with a cleft lip and emphasizes the importance of positive language in that there’s nothing to “fix” because her baby is perfect as he is #baby #love #positive #parenting",https://www.instagram.com/reel/DDe8Gn1vp7G/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDe8Gn1vp7G?postNativeId=18133596988373892,reel,,,6152,6046,106,661526,0.00929971,4.1112839233638505,119042,0.051679239260093074,0,0
10/2/2024,07:23:03 a. m.,25/07/2025 11:01,28/11/2024 22:29,Momcozy,momcozy,Changing a baby’s clothes feels like wrangling a mini alligator in a diaper! 🐊 How are they so wiggly and strong at the same time?! 😂 😂 #Momcozy #BeACozyMom #Momlife #Parentinglife #Motherhood #funnyquotes #parentinghumor #momhumor #newborn,https://www.instagram.com/p/DAn4_C3tNrW/,,,,https://d1cdkkfhgor70g.cloudfront.net/DAn4_C3tNrW?postNativeId=18037800061963764,photo,,,6040,6023,17,241283,0.025032845,11.072890005088196,103840,0.05816641,0,0
4/7/2024,08:00:38 a. m.,25/07/2025 11:01,30/05/2024 20:45,Momcozy,momcozy,"The first time calling out 'mom' or 'dad', The first time rolling over, The first time standing up, The first time taking those wobbly steps, The first day of school... Mom & Dad remember every moment. ❤️ #Momcozy #BeACozyMom #CozyCare #momcozymoments #parentinglife #parenthood #parentingpoem #motherhoodjourney #newparents #parenthoodmoments",https://www.instagram.com/p/C5dnyk1MKhe/,,,,https://d1cdkkfhgor70g.cloudfront.net/C5dnyk1MKhe?postNativeId=18043841560726074,photo,,,6026,6017,9,170085,0.035429344151453684,15.67315496735768,101643,0.059285932,0,0
1/31/2024,12:01:16 p. m.,25/07/2025 11:01,26/03/2024 04:41,Babylist Baby Registry,babylist,It happens fast - be ready 😂 📹: maddiethemomma on TikTok #lactationconsultant #baby #fourthtrimester #postpartum #Postpartumig,https://www.instagram.com/reel/C2xemYVNe9T/,,,,https://d1cdkkfhgor70g.cloudfront.net/C2xemYVNe9T?postNativeId=17950053863743084,reel,,,5991,5842,149,618285,0.009689706,4.2835158368234225,119775,0.050018785,1,0
2/2/2024,03:21:25 p. m.,25/07/2025 11:01,01/04/2024 23:43,Babylist Baby Registry,babylist,We’ve been thinking about this stroller all day 😍 #jasonkelce #philly #philadelphiaeagles #stroller #bugaboo #kith,https://www.instagram.com/reel/C23CfrES69K/,,,,https://d1cdkkfhgor70g.cloudfront.net/C23CfrES69K?postNativeId=18002615942159936,reel,,,5980,5818,162,618400,0.009670116,4.274823724276133,115321,0.051855256197917116,0,0
9/26/2024,11:10:27 a. m.,25/07/2025 11:01,24/11/2024 02:14,willowpump,willowpump,"It doesn't matter if you've pumped for one day, one week, one month, or one year - you deserve to be celebrated for the sacrifices you're making to produce breast milk. 🎉 So, here's to you mom. We hope today, and everyday, you feel recognized and appreciated. How long have you been pumping for? Tell us in the comments! 🎂 #willow #withwillow #breastfeeding #exclusivelypumping #pumpingmom #newmom #veteranmom #newbornmom #ohheymama #wearablebreastpump",https://www.instagram.com/p/DAY0S4Yte1H/,,,,https://d1cdkkfhgor70g.cloudfront.net/DAY0S4Yte1H?postNativeId=17859745290250856,photo,,,5920,5698,222,184105,0.032155563,14.223601502823428,114282,0.051801684,0,0
12/6/2024,07:42:04 a. m.,25/07/2025 11:01,30/01/2025 22:57,Momcozy,momcozy,"Being the first baby in the family means non-stop love, cozy moments, and plenty of attention! 💕 Soaking in all the warmth and joy. 📹 by lizbethmendezm #Momcozy #BeACozyMom #CozyEvolution #CozyHoliday #MomcozyMoments #newborn #chrismas #chrismastime #chrismasgift #holidayseason #familytime",https://www.instagram.com/reel/DDPStT8O8lf/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDPStT8O8lf?postNativeId=18070254376727052,reel,,,5632,5594,38,275735,0.020425408453769018,9.031936356,100493,0.056043705,1,0
11/19/2024,08:45:07 a. m.,25/07/2025 11:01,16/01/2025 21:15,Momcozy,momcozy,"The kind of tiredness where walking to the fridge feels like a marathon and sitting down is suddenly your favorite hobby. Who else has mastered the art of napping anywhere, anytime? 🙋‍♀️ #Momcozy #BeACozyMom #funnyquotes #PregnancyLifes #motherhood #motherhoodjourney",https://www.instagram.com/p/DCjoiHqtCC0/,,,,https://d1cdkkfhgor70g.cloudfront.net/DCjoiHqtCC0?postNativeId=18077810542601758,photo,,,5621,5583,38,268007,0.020973332786083945,9.274263717,97048,0.057919792,0,0
12/5/2024,10:30:55 a. m.,25/07/2025 11:01,20/01/2025 21:35,Babylist Baby Registry,babylist,"If it’s good enough for 2000s me, it’s perfect for my baby 👶💅 #baby #registry #momlife #slay",https://www.instagram.com/reel/DDM-EFKsrvB/,,,,https://d1cdkkfhgor70g.cloudfront.net/DDM-EFKsrvB?postNativeId=18337000204194026,reel,,,5576,5543,33,661311,0.008431736,3.726134123678613,111639,0.049946703,0,0
1/1/2024,12:30:14 p. m.,25/07/2025 11:01,27/02/2024 04:26,Babylist Baby Registry,babylist,If your baby is born in 2024... This blew our minds 🤯 Happy New Year! 🎉 #pregnancy #pregnant #babybornin #2024 #happynewyear,https://www.instagram.com/reel/C1kSHA9P00d/,,,,https://d1cdkkfhgor70g.cloudfront.net/C1kSHA9P00d?postNativeId=18125322334325907,reel,,,5607,5543,64,611371,0.009171191,4.053301075830454,111574,0.050253643,0,0
6/13/2024,10:17:03 a. m.,25/07/2025 11:01,10/08/2024 21:48,willowpump,willowpump,"Reminder to all pumping moms: Your worth is NOT measured by the ounces you pump. 👏👏 Let’s normalize that every mom’s pumping journey is unique, and whether you pump 1 oz or 8 oz, you deserve to know how amazing you are! Thanks for this beautiful reminder monniie.__ #willow #withwillow #pumpingmom #pumpingera #liquidgold #pumpingjourney",https://www.instagram.com/reel/C8KYdYzA-94/,,,,https://d1cdkkfhgor70g.cloudfront.net/C8KYdYzA-94?postNativeId=17908223483969512,reel,,,5534,5280,254,179395,0.030848128431673123,13.641861282134528,105781,0.052315633,0,0
3/18/2024,07:01:08 a. m.,25/07/2025 11:01,15/05/2024 23:57,Elvie,elvie,"The US is one of the only countries in the world that doesn’t have a basic care policy infrastructure. So we’re locking arms and shutting doors with paidleaveforall and 60+ fellow trailblazers today because, hey Congress, it’s high time for paid leave.💪✨ This Women’s History Month, we’re taking a look at the not-so-pretty future without paid leave in the US. Imagine a world missing the minds of countless women because the lack of support forced them out of their jobs. No, thank you. 🙅‍♀️🙅‍♀️🙅‍♀️ We’re championing a future where paid family and medical leave keeps everyone in the game—sparking gender and racial equality, bolstering our businesses, and nurturing our families without compromise. 🚀 Join us in this urgent call-to-action by signing the petition, the link is in our bio. #ClosedForPaidLeave #PaidLeaveForAll",https://www.instagram.com/p/C4qBFgMsA7H/,,,,https://d1cdkkfhgor70g.cloudfront.net/C4qBFgMsA7H?postNativeId=17986923005633900,photo,,,5275,5189,86,377075,0.013989259,6.183511793826907,99264,0.053141119,0,0
2/9/2024,09:12:03 p. m.,25/07/2025 11:01,29/03/2024 06:47,Momcozy,momcozy,It's the mom life rollercoaster! 💖👶 Ever experience that emptiness when your little one is not around? Credit: blw.baby #momcozy #BeACozyMom #motherhoodmemes #momlife #momfeelings #motherhood #parenthood #momlifebelike #momliferocks #momlifebalance,https://www.instagram.com/p/C3JsQV8sFob/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3JsQV8sFob?postNativeId=18015764558141416,photo,,,5139,5124,15,135900,0.03781457,16.719301579593566,86775,0.059222126,0,0
2/11/2024,09:29:59 p. m.,25/07/2025 11:01,01/04/2024 23:43,Babylist Baby Registry,babylist,pov: someone buys you something NOT on your registry 🥲 #babyregistry #super bowl #traviskelce #baby #pregnant #pregnancy #pregnancylife #babyshower,https://www.instagram.com/p/C3O35trspCB/,,,,https://d1cdkkfhgor70g.cloudfront.net/C3O35trspCB?postNativeId=18010748045036583,photo,,,5137,5014,123,619613,0.008290659,3.662948236325918,102209,0.050259761860501524,0,0
